signal_date,executed,starting_equity,ending_equity,daily_pnl,daily_return_pct,portfolio_size,stop_loss_pct,regime,entry_date,peak_equity,drawdown_pct
2026-07-09,1,99902.90938549844,100474.73484727378,571.8254617753425,0.005723811901901896,3,0.025,risk_on,2026-07-10,105406.79961573877,-0.0467907647935889
2026-07-10,1,100474.73484727378,98522.82611662569,-1951.9087306480874,-0.019426861226507126,3,0.025,risk_on,2026-07-13,105406.79961573877,-0.06530862832576889
2026-07-13,1,98522.82611662569,97460.34265866112,-1062.4834579645735,-0.01078413500549473,3,0.025,neutral,2026-07-14,105406.79961573877,-0.07538846626637485
2026-07-14,1,97460.34265866112,96411.1646557008,-1049.178002960306,-0.010765178680264649,3,0.025,risk_off,2026-07-15,105406.79961573877,-0.08534207463685084
2026-07-15,1,96411.1646557008,93885.57635265084,-2525.5883030499717,-0.02619601487098759,1,0.025,risk_on,2026-07-16,105406.79961573877,-0.10930246725153059
2026-07-16,0,93885.57635265084,93885.57635265084,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.10930246725153059
2026-07-17,1,93885.57635265084,91385.29613688868,-2500.28021576216,-0.026631143066861145,2,0.025,risk_off,2026-07-20,105406.79961573877,-0.13302276067545526
2026-07-20,1,91385.29613688868,93539.23597746593,2153.939840577247,0.023569873181247872,1,0.025,neutral,2026-07-21,105406.79961573877,-0.11258821709354738
2026-07-21,1,93539.23597746593,91032.29851264911,-2506.9374648168177,-0.02680091876547668,2,0.025,neutral,2026-07-22,105406.79961573877,-0.13637166819875002
2026-07-22,1,91032.29851264911,88582.56430570838,-2449.7342069407255,-0.026910604773978438,3,0.025,risk_off,2026-07-23,105406.79961573877,-0.15961242890746385
2026-07-23,1,88582.56430570838,87643.14170387505,-939.4226018333243,-0.010605050883278467,3,0.025,risk_off,2026-07-24,105406.79961573877,-0.16852478186057496
2026-07-24,1,87643.14170387505,85291.29639679349,-2351.845307081564,-0.026834333655311897,2,0.025,neutral,2026-07-27,105406.79961573877,-0.19083686529025157
2026-07-27,1,85291.29639679349,82961.5410886114,-2329.7553081820984,-0.027315276078623246,3,0.025,risk_on,2026-07-28,105406.79961573877,-0.21293937970749244
2026-07-28,1,82961.5410886114,82051.93690089931,-909.6041877120886,-0.01096416695948956,3,0.025,risk_off,2026-07-29,105406.79961573877,-0.22156884375561892
2026-07-29,1,82051.93690089931,81792.70583994265,-259.23106095665696,-0.003159353340674347,3,0.025,risk_on,2026-07-30,105406.79961573877,-0.2240281828295847
2026-07-30,0,81792.70583994265,81792.70583994265,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.2240281828295847
2026-07-31,1,81792.70583994265,79652.49435180325,-2140.2114881393973,-0.02616628788791392,1,0.025,risk_on,2026-08-03,105406.79961573877,-0.24433248479057346
2026-08-03,1,79652.49435180325,78160.54543864571,-1491.9489131575392,-0.018730724320672364,3,0.025,risk_on,2026-08-04,105406.79961573877,-0.25848668469604874
2026-08-04,1,78160.54543864571,77413.20434371225,-747.3410949334582,-0.009561615655818373,3,0.025,neutral,2026-08-05,105406.79961573877,-0.26557675002065684
2026-08-05,1,77413.20434371225,76562.26137617244,-850.9429675398128,-0.010992219928807652,3,0.025,risk_on,2026-08-06,105406.79961573877,-0.27364969190525945
2026-08-06,1,76562.26137617244,74538.59764161146,-2023.6637345609815,-0.026431608708866877,1,0.025,neutral,2026-08-07,105406.79961573877,-0.2928482990343845
2026-08-07,1,74538.59764161146,74943.68901536592,405.0913737544555,0.005434652469612759,3,0.025,neutral,2026-08-10,105406.79961573877,-0.28900517529634073
2026-08-10,1,74943.68901536592,72953.97389843951,-1989.7151169264052,-0.02654946858191686,3,0.025,neutral,2026-08-11,105406.79961573877,-0.30788171005671616
2026-08-11,1,72953.97389843951,70965.06886273764,-1988.9050357018655,-0.02726246329597692,3,0.025,risk_off,2026-08-12,105406.79961573877,-0.3267505595327693
2026-08-12,1,70965.06886273764,72523.44464680161,1558.3757840639773,0.02195975863953892,3,0.025,risk_off,2026-08-13,105406.79961573877,-0.3119661643159043
2026-08-13,1,72523.44464680161,72366.8428935074,-156.60175329420986,-0.0021593259125635895,2,0.025,neutral,2026-08-14,105406.79961573877,-0.31345185360601746
2026-08-14,1,72366.8428935074,70363.33933053535,-2003.5035629720564,-0.02768538024963096,3,0.025,risk_off,2026-08-17,105406.79961573877,-0.33245920009861407
2026-08-17,1,70363.33933053535,68516.36622231612,-1846.9731082192243,-0.026249082630131787,2,0.025,risk_off,2026-08-18,105406.79961573877,-0.3499815337142099
2026-08-18,1,68516.36622231612,66699.31689734015,-1817.0493249759743,-0.02651993129758467,1,0.025,risk_off,2026-08-19,105406.79961573877,-0.3672199787822704
2026-08-19,0,66699.31689734015,66699.31689734015,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.3672199787822704
2026-08-20,1,66699.31689734015,64857.36726672269,-1841.9496306174574,-0.027615719565051666,3,0.025,neutral,2026-08-21,105406.79961573877,-0.3846946543945866
2026-08-21,1,64857.36726672269,63049.57343233863,-1807.7938343840688,-0.02787337677383059,3,0.025,neutral,2026-08-24,105406.79961573877,-0.4018452921235983
2026-08-24,1,63049.57343233863,61298.696013387605,-1750.877418951021,-0.027769853523750915,3,0.025,neutral,2026-08-25,105406.79961573877,-0.4184559607458681
2026-08-25,1,61298.696013387605,62723.84730169679,1425.1512883091857,0.02324929208931187,1,0.025,neutral,2026-08-26,105406.79961573877,-0.4049354735144505
2026-08-26,1,62723.84730169679,61058.354270828364,-1665.4930308684263,-0.026552788174129933,1,0.025,neutral,2026-08-27,105406.79961573877,-0.42073609583616023
2026-08-27,1,61058.354270828364,62483.07871721211,1424.7244463837494,0.02333381669712698,1,0.025,risk_off,2026-08-28,105406.79961573877,-0.4072196580771391
2026-08-28,1,62483.07871721211,60803.26727885076,-1679.8114383613465,-0.026884261672890514,2,0.025,neutral,2026-08-31,105406.79961573877,-0.42315611990393887
2026-08-31,1,60803.26727885076,59190.1867359177,-1613.0805429330646,-0.02652950433626029,1,0.025,risk_off,2026-09-01,105406.79961573877,-0.43845950212229245
2026-09-01,1,59190.1867359177,59488.776876114825,298.5901401971287,0.00504458858238301,3,0.025,risk_off,2026-09-02,105406.79961573877,-0.4356267613381529
2026-09-02,1,59488.776876114825,59794.62829894515,305.8514228303247,0.005141329825409912,3,0.025,risk_off,2026-09-03,105406.79961573877,-0.4327251323735576
2026-09-03,1,59794.62829894515,60091.26058330835,296.6322843631997,0.0049608517153108996,3,0.025,risk_on,2026-09-04,105406.79961573877,-0.42991096587344013
2026-09-04,1,60091.26058330835,58447.331373461355,-1643.9292098469941,-0.027357209582380287,2,0.025,neutral,2026-09-07,105406.79961573877,-0.44550701106065727
2026-09-07,1,58447.331373461355,57806.13397203085,-641.197401430499,-0.010970516298399239,3,0.025,risk_off,2026-09-08,105406.79961573877,-0.4515900854331645
2026-09-08,1,57806.13397203085,57121.30604869762,-684.8279233332378,-0.011846976718155683,3,0.025,neutral,2026-09-09,105406.79961573877,-0.4580870849230435
2026-09-09,1,57121.30604869762,56490.190998842336,-631.1150498552846,-0.011048680317590081,3,0.025,risk_off,2026-09-10,105406.79961573877,-0.4640745074817021
2026-09-10,1,56490.190998842336,55846.39097781519,-643.8000210271518,-0.011396669220685506,3,0.025,risk_off,2026-09-11,105406.79961573877,-0.4701822730468661
