distance,width,take_profit,stop_loss,minimum_credit,score,train_trades,train_win_rate,train_net_pnl,train_return_on_capital,train_median_trade,train_worst_trade,train_best_trade,train_profit_factor,train_max_drawdown,train_take_profit_eod_marks,train_stop_loss_eod_marks,train_forced_expiry_or_max_hold,train_negative_conservative_bound_trades,train_deep_conservative_bound_trades,window
0.0175,200,0.7,1.0,10.0,-0.09014251244665386,126,0.6428571428571429,6398.497674399976,0.06398497674399976,754.653964,-10295.15903375,10967.083202575004,1.0350272741071194,-0.2371066562387284,75,35,16,124,38,2021
0.02,150,0.7,1.5,10.0,-0.09066408088135504,104,0.6730769230769231,-9771.047552950025,-0.09771047552950025,816.7771786000001,-8337.175262525001,6018.110775025003,0.9299188464951177,-0.26336383329050816,67,23,14,103,47,2021
0.02,200,0.6,1.25,10.0,-0.0906791733813318,109,0.7064220183486238,12920.633750899991,0.1292063375089999,693.6621274749998,-10983.9060071,13181.151334225,1.0870664128096323,-0.24292093394679204,73,26,10,108,33,2021
0.02,150,0.7,1.0,10.0,-0.09143131916208883,104,0.625,-11150.502769600018,-0.11150502769600018,647.6443816375,-8337.175262525001,6018.110775025003,0.9151032063682092,-0.24825233350873532,63,28,13,103,42,2021
0.0175,250,0.4,1.0,10.0,-0.09149799326954448,132,0.7045454545454546,14938.66840437501,0.1493866840437501,698.3720100249999,-11108.499367250002,13679.572329850002,1.0909678044857323,-0.24301839878340337,93,33,6,131,27,2021
0.0175,300,0.4,1.0,10.0,-0.09360193493204622,131,0.7099236641221374,27140.97354019998,0.2714097354019998,693.3415603749996,-11656.937919424998,16193.19530095,1.1552347954777493,-0.2444965459917432,92,32,7,129,22,2021
0.02,250,0.4,1.25,10.0,-0.09370481838169799,116,0.7413793103448276,10934.343554050018,0.10934343554050018,673.7422733875001,-12727.652763425,9706.060853200002,1.0762568092680433,-0.23724389378086153,86,25,5,115,23,2021
0.02,200,0.6,1.5,10.0,-0.09440557621987117,109,0.7155963302752294,8016.12654192499,0.08016126541924991,693.6621274749998,-10983.9060071,13181.151334225,1.052105008519632,-0.25130869242956344,74,24,11,108,34,2021
0.02,150,0.6,1.0,10.0,-0.0968512005821633,105,0.6285714285714286,-20638.71493822502,-0.2063871493822502,597.7907800249998,-8337.175262525001,6018.110775025003,0.8444973255204916,-0.25602538165660516,64,28,13,104,42,2021
0.015,150,0.7,1.25,10.0,-0.0986513679348703,182,0.6813186813186813,23153.890250449993,0.23153890250449993,903.9435642250003,-8717.856919025,7427.052727225001,1.1021369379423471,-0.2850900290562324,112,42,28,180,96,2022
0.015,150,0.5,1.25,10.0,-0.10120063503142171,185,0.7081081081081081,13917.444074300005,0.13917444074300006,866.6011287249999,-8717.856919025,6326.244887199999,1.0631749387603207,-0.293012956191788,127,40,18,183,96,2022
0.015,150,0.5,1.0,10.0,-0.1033199066619452,186,0.6774193548387096,11587.924520250006,0.11587924520250006,824.2038525999999,-8717.856919025,6326.244887199999,1.0529967416347294,-0.2891592825946565,123,46,17,184,94,2022
0.015,150,0.7,1.0,10.0,-0.10345022913450745,182,0.6593406593406593,27703.632965899997,0.277036329659,903.9435642250003,-8717.856919025,7427.052727225001,1.1266537176425708,-0.29079211878687483,109,46,27,180,93,2022
0.015,150,0.7,1.5,10.0,-0.1042269017427246,181,0.6850828729281768,21252.827452524994,0.21252827452524994,926.6347483749998,-8717.856919025,7427.052727225001,1.094050400776307,-0.2977055775398705,112,38,31,179,96,2022
0.015,150,0.6,1.25,10.0,-0.11132350508880841,183,0.6939890710382514,18652.342794225002,0.18652342794225002,911.7186807250004,-8717.856919025,6326.244887199999,1.0830753875027015,-0.31277350983322205,120,41,22,181,97,2022
0.015,150,0.5,1.5,10.0,-0.11142326325778382,184,0.717391304347826,13231.690983025,0.13231690983025002,881.384788225,-8717.856919025,6326.244887199999,1.0604733618780033,-0.31583983700464646,128,35,21,182,96,2022
0.015,200,0.7,1.25,10.0,-0.11714776727189607,186,0.7150537634408602,46314.06540139999,0.4631406540139999,979.64771595,-10909.335670625002,10967.083202575004,1.1745926515561975,-0.3123788461961228,118,39,29,183,69,2022
0.015,150,0.6,1.5,10.0,-0.11790097494307818,182,0.6978021978021978,16751.279996300007,0.16751279996300006,939.4631004124998,-8717.856919025,6326.244887199999,1.0748489088727355,-0.3276031442724393,120,37,25,180,97,2022
0.015,150,0.6,1.0,10.0,-0.11919834970691635,184,0.6630434782608695,11628.117530125002,0.11628117530125003,863.9841338624998,-8717.856919025,6326.244887199999,1.0515866676375671,-0.31965011704874846,115,47,22,182,95,2022
0.0175,250,0.7,1.25,10.0,-0.12096524753758676,174,0.6896551724137931,31742.41336639999,0.3174241336639999,857.16531535,-13284.372439325,13679.572329850002,1.115146477583293,-0.28495297103918793,113,41,20,172,41,2022
0.015,150,0.4,1.25,10.0,-0.12340462295789874,185,0.7081081081081081,-3515.461483400002,-0.03515461483400002,792.1253232249999,-8717.856919025,5934.8372479,0.9841628744693218,-0.3325572613860718,130,41,14,183,94,2022
0.0125,150,0.7,1.25,10.0,-0.12404306180648897,195,0.6512820512820513,11343.033723875025,0.11343033723875025,850.4597763500003,-9419.55777725,10261.129225749999,1.0431062924175745,-0.31932873522513183,105,42,48,193,116,2022
0.015,200,0.5,1.25,10.0,-0.1250317716376869,190,0.7210526315789474,17046.74938575001,0.1704674938575001,892.1275747749999,-10909.335670625002,7467.101500900003,1.0636479769454796,-0.32266021054809746,133,41,16,187,70,2022
