qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity
43,2465.13195,2537.81636554575,2463.9,2593.0,2563.6,106000.67384999999,109126.10371846726,3125.4298684672685,3038.795384429771,86.63448403749759,40.0,7.42187382611212,27.281525929616816,0.21512677756846724,3.1800202155,8.53593728870018,0.028089602622612637,take_profit,2026-06-23,2026-06-24,KIRLOSENG,0.7630897164344788,6.696698875229988,0.0472539758596299,11.812889004951113,3253.6501134,large_gap,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
90,1224.7120499999999,1190.70435,1224.1,1224.8,1191.3,110224.08449999998,107163.3915,-3060.6929999999847,-3147.057802033945,86.36480203396,40.0,7.499867921999998,26.790847875,0.21738747599999997,3.3067225349999996,8.54997622596,-0.028295533705781015,close_proxy,2026-06-24,2026-06-25,KPRMILL,0.8070478439331055,6.572443562549455,0.04681298839860948,10.358948303348402,1826.883616725,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
516,209.00445,207.91599000000002,208.9,209.93,208.02,107846.2962,107284.65084000002,-561.6453599999804,-647.8750233970188,86.22966339703841,40.0,7.42201767288,26.821162710000003,0.21513094704,3.235388886,8.535963181118401,-0.005994738025961606,close_proxy,2026-06-25,2026-06-29,SILVERBEES,0.634040892124176,5.067888861213408,0.04316419892253749,2.5904457398812957,1662.620248198,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
23,4502.25,4535.9309,4500.0,4588.0,4538.2,103551.75,104326.41070000001,774.6607000000076,689.6019467422107,85.05875325779701,40.0,7.17179654415,26.081602675000003,0.2078781607,3.1065525000000003,8.490923377946999,0.006419316174135666,close_proxy,2026-06-29,2026-06-30,NETWEB,0.7789286375045776,6.2127058122386645,0.059726907733552236,1.169956367220516,1340.73309076,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
2457,43.991985,45.289088677725005,43.97,45.9,45.02,108088.307145,111275.29088117034,3186.9837361703394,3099.5726085620254,87.41112760831415,40.0,7.568044131902877,27.818822720292584,0.21936359802617034,3.24264921435,8.562247943742518,0.02866903921272155,take_profit,2026-06-30,2026-07-01,OLAELEC,0.7067854404449463,5.904757136835763,0.055595455732567245,2.3046801082932964,1986.035097768,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
479,231.96592499999997,224.81753500000002,231.85,231.85,224.93,111111.67807499999,107687.59926500001,-3424.0788099999772,-3510.6601780163287,86.5813680163514,40.0,7.54857506823,26.921899816250004,0.21879927734,3.3333503422499997,8.5587435122814,-0.031566355897171786,close_proxy,2026-07-01,2026-07-02,RITES,0.7792239785194397,6.374744953160032,0.03308767222314112,16.812731433785878,2254.3057243529997,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
224,478.73924999999997,492.85487678625003,478.5,522.4,516.1,107237.59199999999,110399.49240012001,3161.900400120023,3074.8057564696637,87.094643650359,40.0,7.5084794118041405,27.599873100030003,0.21763708440012,3.21712776,8.551526294124745,0.028548511699393087,take_profit,2026-07-02,2026-07-03,ZENSARTECH,0.7422258257865906,5.955805331384444,0.03761329074263704,15.085573865295641,1835.14922708,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
215,514.257,477.711025,514.0,514.0,477.95,110565.25499999999,102707.870375,-7857.3846249999915,-7942.474172303133,85.08954730314125,40.0,7.3579228254375,25.67696759375,0.21327312537499998,3.31695765,8.52442610857875,-0.07169631226119538,close_proxy,2026-07-03,2026-07-06,ZENSARTECH,0.7518712282180786,6.488963441753885,0.03999086555761617,10.95214048089945,3135.57623327,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
240,427.21349999999995,401.14932500000003,427.0,430.4,401.35,102531.23999999999,96275.838,-6255.401999999987,-6338.039139923368,82.63713992338,40.0,6.858844190999999,24.068959500000002,0.19880707799999997,3.0759372,8.43459195438,-0.061631941362512,close_proxy,2026-07-06,2026-07-07,APOLLO,0.6887987852096558,5.433961102702997,0.05255396956470449,1.6598629603339043,1348.182631005,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
419,230.02495499999998,223.018435,229.91,230.98,223.13,96380.45614499999,93444.72426500001,-2935.7318799999775,-3017.102083025479,81.3702030255011,40.0,6.548968724144999,23.361181066250005,0.18982518041,2.89141368435,8.378814370346099,-0.03126566854447379,close_proxy,2026-07-07,2026-07-08,RITES,0.717586874961853,5.995212575546734,0.04172911572138516,9.41723514135567,2369.811964754,large_gap,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
476,196.09799999999998,201.87994952999998,196.0,216.86,210.01,93342.64799999999,96094.85597627999,2752.2079762799985,2670.282544555078,81.92543172492063,40.0,6.535593887181659,24.023713994069997,0.18943750397627998,2.8002794399999997,8.376406899692698,0.0285647377002842,take_profit,2026-07-08,2026-07-09,CUPID,0.8301208019256592,6.669114609096995,0.05308370683028009,2.2996691516488372,1529.2936653959998,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
440,218.10899999999998,212.13388000000003,218.0,222.0,212.24,95967.95999999999,93338.90720000002,-2629.052799999976,-2710.362555030888,81.30975503091202,40.0,6.5310869184,23.334726800000006,0.1893068672,2.8790388,8.375595645312,-0.028188293256083363,close_proxy,2026-07-09,2026-07-10,CUPID,0.7856256365776062,6.62749330783605,0.053732135204446044,2.7577537643713037,2189.730965938,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
185,504.25199999999995,519.11987022,504.0,547.4,540.2,93286.62,96037.17599070001,2750.5559907000134,2668.6514025715665,81.90458812844712,40.0,6.531670961679151,24.009293997675,0.1893237959907,2.7985986,8.375700773102247,0.028559533738949802,take_profit,2026-07-10,2026-07-13,ZENSARTECH,0.7110471129417419,6.052708982996756,0.05232942168505374,5.5374121080904875,2390.328059525,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
162,592.79625,554.1228,592.5,603.8,554.4,96032.9925,89767.8936,-6265.098899999997,-6345.371618134228,80.272718134231,40.0,6.41013057045,22.4419734,0.1858008861,2.8809897749999998,8.353823502681,-0.06602172900297597,close_proxy,2026-07-13,2026-07-14,NEWGEN,0.7789713144302368,6.305995725285605,0.03935526793274464,7.775257215791777,1918.37890325,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
112,800.4,823.9997940000001,800.0,838.3,804.05,89644.8,92287.976928,2643.1769280000008,2562.6271736423337,80.54975435766688,40.0,6.276680804016,23.071994232,0.181932776928,2.689344,8.329802544722881,0.028548183946645846,take_profit,2026-07-14,2026-07-15,JUSTDIAL,0.8094501495361328,7.05788143097856,0.0409280335560156,13.920964630935897,3363.6184544899997,large_gap,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
244,377.438625,357.771025,377.25,383.6,357.95,92095.0245,87296.13010000001,-4798.89439999999,-4878.163688318356,79.269288318366,40.0,6.1889948337,21.824032525000003,0.1793911546,2.7628507350000002,8.314019070066,-0.052835374101693186,close_proxy,2026-07-15,2026-07-16,NUVOCO,0.7666711807250977,6.225306133972612,0.04163589889236012,13.193804283235197,1906.979397075,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
497,175.577745,174.402755,175.49,178.9,174.49,87262.13926499999,86678.16923500001,-583.9700299999822,-662.7124867542173,78.742456754235,40.0,6.000940643249999,21.669542308750003,0.17394030849999997,2.6178641779499996,8.280169315784999,-0.007578235572320471,close_proxy,2026-07-16,2026-07-17,MRPL,0.7826418280601501,6.869561464196739,0.04110243878316339,12.14158778104076,3542.059059503,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
193,448.52414999999996,436.831475,448.3,454.7,437.05,86565.16094999999,84308.474675,-2256.6862749999855,-2334.687487839154,78.00121283916874,40.0,5.8951404290625,21.077118668750003,0.170873635625,2.5969548285,8.26112527723125,-0.02690143353793483,close_proxy,2026-07-17,2026-07-20,RELAXO,0.7734182476997375,6.177749354931954,0.047278099784066385,8.876014224070113,1572.6507253799998,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
402,209.814855,216.001245999675,209.71,219.61,211.3,84345.57171,86832.50089186935,2486.9291818693455,2408.350852086854,78.57832978249131,40.0,5.905643504764492,21.708125222967336,0.17117807260186935,2.5303671513,8.263015830857608,0.02851737790287018,take_profit,2026-07-20,2026-07-21,BECTORFOOD,0.8063951730728149,6.594522296511065,0.05088197693395712,7.693928740498572,1791.9884713120002,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
