qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,model_threshold,validation_precision,validation_recall,validation_specificity
3,4342.17,4425.9859,4340.0,4460.0,4428.2,13026.51,13277.957699999999,251.4476999999988,199.44025592723182,52.007444072767,40.0,0.90750413565,3.319489425,0.0263044677,0.3907953,7.363350744417,0.014175893502183063,close,2026-06-08,2026-06-09,NETWEB,0.7967081069946289,6.375352286414899,0.06441552350803142,1.3994395209411472,1299.74326545,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
34,412.25602499999997,412.843475,412.05,419.7,413.05,14016.704849999998,14036.67815,19.973300000001473,-32.326477287928526,52.29977728793,40.0,0.9678417134999999,3.5091695375,0.028053382999999998,0.42050114549999995,7.37421150843,-0.002297714156070953,close,2026-06-08,2026-06-09,APOLLO,0.7807587385177612,6.09889594394254,0.0749034749034749,0.712471584145906,1068.0786633,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
32,435.16747499999997,438.730525,434.95,447.3,438.95,13925.359199999999,14039.3768,114.01760000000104,61.72358588544103,52.29401411456001,40.0,0.9647833919999999,3.5098442,0.027964735999999997,0.417760776,7.37366101056,0.004387213484142897,close,2026-06-08,2026-06-09,NRBBEARING,0.81400066614151,5.939165875091088,0.044181160266137484,10.86317051660385,860.58025131,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
132,106.053,106.20687000000001,106.0,107.62,106.26,13998.996,14019.306840000001,20.310840000001917,-31.982600001454486,52.2934400014564,40.0,0.96663144798,3.5048267100000006,0.02801830284,0.41996987999999996,7.373993660636399,-0.002273271910105052,close,2026-06-08,2026-06-09,PWL,0.8010452389717102,5.937755812010807,0.06555346482381448,4.973624734867918,756.6142409060001,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
29,479.989875,497.75100000000003,479.75,511.0,498.0,13919.706375,14434.779,515.0726250000007,462.66367347375945,52.408951526241246,40.0,0.9782297454375,3.60869475,0.028354485375,0.41759119125,7.37608135417875,0.03296093195602787,close,2026-06-09,2026-06-10,JNKINDIA,0.8426464796066284,6.589059161175832,0.06670650906783536,13.406036200141273,1075.726339275,large_gap,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
296,47.193585,47.29634,47.17,48.16,47.32,13969.301159999999,13999.71664,30.41548000000148,-21.87011592723651,52.28559592723799,40.0,0.9649311141,3.49992916,0.0279690178,0.41907903479999997,7.373687600537999,-0.0015580635443793243,close,2026-06-09,2026-06-10,OLAELEC,0.7471868991851807,6.3720953669763,0.05504254933912728,3.2894389237506667,2342.3691589560003,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
3,4602.3,4351.623100000001,4600.0,4722.0,4353.8,13806.900000000001,13054.869300000002,-752.0306999999993,-804.0290287225023,51.998328722503,40.0,0.9267310408500001,3.2637173250000004,0.0268617693,0.41420700000000005,7.366811587353,-0.05728036936078286,close,2026-06-09,2026-06-10,DATAPATTNS,0.7152879238128662,5.844693593477827,0.04646891991413216,3.426267712404629,1881.57694455,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
79,176.16804,169.02544500000002,176.08,176.4,169.11,13917.27516,13353.010155000002,-564.2650049999975,-616.3582193940362,52.09321439403865,40.0,0.9408248433674999,3.3382525387500004,0.027270285315,0.4175182548,7.36934847180615,-0.043910387814654214,close,2026-06-09,2026-06-10,HFCL,0.7115455865859985,5.628318187269633,0.06508863868000994,1.0566407831508986,1187.500313153,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
13,1045.5225,1039.97975,1045.0,1066.75,1040.5,13591.7925,13519.73675,-72.05574999999953,-124.17425984751704,52.1185098475175,40.0,0.9353477591249999,3.3799341875,0.02711152925,0.407753775,7.3683625966425,-0.00884638143036805,close,2026-06-09,2026-06-10,PARAS,0.7521728873252869,5.5763986155526855,0.05164591939840941,2.475377631561273,881.8369263550001,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
5,2402.8008,2384.2073,2401.6,2485.2,2385.4,12014.004,11921.0365,-92.96750000000065,-144.50650978425566,51.539009784255,40.0,0.8257588972500001,2.980259125,0.0239350405,0.36042012,7.3486366015049995,-0.010459377946273954,close,2026-06-10,2026-06-11,CARTRADE,0.8124528527259827,6.665217305601598,0.0488612920896514,7.052930948039639,1881.9978781799998,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
