qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,expected_intraday_return,expected_return_utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity,return_validation_mae,return_validation_rank_ic
5,4692.344999999999,4556.7205,4690.0,4694.8,4559.0,23461.725,22783.6025,-678.1224999999977,-733.6511449850227,55.528644985025004,40.0,1.59546379875,5.695900625,0.046245327499999996,0.70385175,7.487183483775,-0.030648715209139355,close_proxy,2026-08-03,2026-08-04,LTM,0.5704352259635925,4.082512744694174,0.02269585430622101,3.8838240481934965,0.029699969540054803,3.197884903124958,891.164253,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
15,1465.7324999999998,1470.0646,1465.0,1479.5,1470.8,21985.9875,22050.968999999997,64.98149999999805,9.772396669383049,55.209103330615,40.0,1.5192749992499999,5.51274225,0.044036956499999995,0.659579625,7.473469499865,0.00041968347979368255,close_proxy,2026-08-04,2026-08-05,ATHERENERG,0.7696653008460999,6.7615125376182466,0.026685498654842377,4.076772903168227,0.043342723189662,4.181629704803105,3459.70061696,large_gap,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
60,386.193,392.80350000000004,386.0,397.35,393.0,23171.579999999998,23568.210000000003,396.63000000000466,340.8932834591047,55.7367165409,40.0,1.6125227549999999,5.892052500000001,0.046739789999999996,0.6951474,7.4902540959,0.014639937804473443,close_proxy,2026-08-04,2026-08-05,LICI,0.4403243064880371,3.5100001404296064,0.017286859452724457,3.804516135993463,0.024679639297579485,11.220805497790506,2062.88081363,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
262,88.634295,87.69613,88.59,93.3,87.74,23222.185289999998,22976.38606,-245.7992299999969,-301.3669344847054,55.5677044847085,40.0,1.5938507115749998,5.744096515000001,0.046198571349999995,0.6966655586999999,7.4868931280835,-0.012942446775165622,close_proxy,2026-08-04,2026-08-05,RBA,0.853556752204895,6.28565326118458,0.024244628846645355,3.4212292237101094,0.038780557565153,12.934546140657488,975.0995792719999,large_gap,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
58,401.150475,379.060375,400.95,403.45,379.25,23266.72755,21985.501750000003,-1281.2257999999965,-1336.5076477480995,55.281847748103,40.0,1.5612019108500002,5.496375437500001,0.0452522293,0.6980018265,7.481016343953,-0.05735692381906148,close_proxy,2026-08-05,2026-08-06,CELLO,0.797971785068512,6.05505297660607,0.023965276777744293,4.244435105166237,0.030607129429036914,17.541369843631895,1327.5393575350001,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
31,739.46955,738.4306,739.1,786.15,738.8,22923.55605,22891.3486,-32.20744999999806,-87.72893350444957,55.5214835044515,40.0,1.5806142104249998,5.72283715,0.045814904649999995,0.6877066815,7.484510557876499,-0.0037649330059730513,close_proxy,2026-08-05,2026-08-06,SHILPAMED,0.7831891179084778,5.9405452621886985,0.02543458342552185,3.690847570723719,0.038853975951308815,12.007180455307589,1198.02979365,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
36,637.8687749999999,678.4606,637.55,687.7,678.8,22963.275899999997,24424.5816,1461.3057000000044,1405.3341087866795,55.971591213325006,40.0,1.6348810837499999,6.106145400000001,0.0473878575,0.688898277,7.494278595075,0.06031064734557996,close_proxy,2026-08-05,2026-08-06,ASKAUTOLTD,0.8259102702140808,6.2401673593124825,0.026661992073059082,3.753538309127998,0.0400584828080711,14.593496209860733,1148.809569395,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
9,2531.265,2513.64255,2530.0,2558.0,2514.9,22781.385,22622.78295,-158.6020499999977,-214.0349951326922,55.43294513269449,40.0,1.566443794275,5.6556957375,0.04540416795,0.68344155,7.4819598829695,-0.009187908055257293,close_proxy,2026-08-06,2026-08-07,MAZDOCK,0.43699997663497925,3.1651233474658205,0.020526297390460968,4.450857068495144,0.022123094297007324,5.43270574964934,1058.412344,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
23,1000.5,999.5,1000.0,1000.01,1000.0,23011.5,22988.5,-23.0,-78.55613,55.55613,40.0,1.587,5.7471250000000005,0.046,0.690345,7.48566,-0.003372189202842161,close_proxy,2026-08-06,2026-08-07,LIQUIDETF,0.031039807945489883,0.15780590267767575,0.008026860654354095,4.072551512104801,1.999999999998181e-05,7.4015137932952015,160.3864,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
2,8524.76025,8266.8645,8520.5,8650.0,8271.0,17049.5205,16533.729,-515.7914999999994,-569.0371752016443,53.24567520164499,40.0,1.1586221077499999,4.13343225,0.033583249499999995,0.511485615,7.408551979395,-0.02442713278048178,close_proxy,2026-08-06,2026-08-07,NAVINFLUOR,0.7761890888214111,6.6665567341086955,0.023321770131587982,4.4352912109693206,0.03265483071841453,12.374468183492391,3333.29653,large_gap,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
20,1108.5539999999999,1070.4645,1108.0,1113.3,1071.0,22171.079999999998,21409.29,-761.7899999999972,-816.8251921326972,55.0351921327,40.0,1.5035227649999998,5.3523225000000005,0.04358036999999999,0.6651324,7.4706340977,-0.03550166392632441,close_proxy,2026-08-07,2026-08-10,SBIN,0.3248102068901062,2.712564148386188,0.014884337782859802,4.193525355741191,0.01867741263475859,2.6629205240697846,3226.9334458400003,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
21,1065.5325,1053.522975,1065.0,1068.35,1054.05,22376.1825,22123.982475,-252.20002499999828,-307.4584079748555,55.25838297485725,40.0,1.5352556916375,5.5309956187500005,0.044500164975,0.671285475,7.47634602449475,-0.013363061247837737,close_proxy,2026-08-07,2026-08-10,HINDALCO,0.3328242897987366,2.3749191327646613,0.016835913062095642,3.9198853537135507,0.019603084721997503,1.85904387318929,983.8117921199998,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
26,873.4364999999999,878.710425,873.0,888.05,879.15,22709.349,22846.47105,137.12205000000176,81.62901851321627,55.49303148678549,40.0,1.5716757917249997,5.7116177625,0.045555820049999994,0.6812804699999999,7.4829016425105,0.003547841092321659,close_proxy,2026-08-07,2026-08-10,TATATECH,0.7170211672782898,5.5060913183654066,0.024567700922489166,4.120640789864151,0.033201846274715216,7.558594847669354,1401.5823888,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
21,1070.5349999999999,1038.6804000000002,1070.0,1092.0,1039.2,22481.234999999997,21812.288400000005,-668.946599999992,-724.121592011006,55.174992011014,40.0,1.5281265573,5.453072100000002,0.04429352340000001,0.6744370499999999,7.4750627803139995,-0.03195519165974313,close_proxy,2026-08-10,2026-08-11,SBCL,0.8660922050476074,6.618871216345953,0.02858646959066391,3.882951836777381,0.04228315460838875,10.18227724698602,1213.04786256,normal,qualified,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
8,2780.88975,2893.5525000000002,2779.5,2895.0,2895.0,22247.118,23148.420000000002,901.3020000000033,845.7540335700234,55.547966429979994,40.0,1.566146061,5.787105,0.045395538,0.66741354,7.48190629098,0.03732278188898439,close_proxy,2026-08-10,2026-08-11,MCX,0.5114078521728516,3.831811024691283,0.02036450058221817,3.8575336726174174,0.027677827192196795,2.37997492157178,1256.77616356,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
4,5092.545,5125.436000000001,5090.0,5168.0,5128.0,20370.18,20501.744000000002,131.56400000000212,76.92269064996212,54.641309350040004,40.0,1.4100813779999999,5.1254360000000005,0.040871924,0.6111054,7.45381464804,0.0033945670862764576,close_proxy,2026-08-10,2026-08-11,TITAN,0.34952443838119507,2.724018209696004,0.01452057808637619,3.731558863395936,0.019308167274768463,3.945073249715387,1865.341462,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
18,1240.62,1279.409975,1240.0,1374.0,1280.05,22331.159999999996,23029.37955,698.2195500000053,642.7002822078748,55.5192677921305,40.0,1.564938614475,5.7573448875,0.04536053955,0.6699347999999999,7.481688950605499,0.028279505844927597,close_proxy,2026-08-11,2026-08-12,FINCABLES,0.8031798601150513,5.93652871977581,0.025424107909202576,4.102875608577105,0.03321722777781061,13.13591513650043,1067.790008915,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
7,2925.462,2889.7544,2924.0,2949.9,2891.2,20478.234,20228.2808,-249.95319999999992,-304.52248595230793,54.56928595230799,40.0,1.4043747606,5.0570702,0.0407065148,0.6143470200000001,7.452787456907999,-0.013399317939951975,close_proxy,2026-08-11,2026-08-12,GLAND,0.7163712978363037,5.9313523372491455,0.01990431547164917,3.8577114846179175,0.030497098305879603,10.191365786695796,2561.80276668,large_gap,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
10,2086.0425,2038.28035,2085.0,2110.0,2039.3,20860.425,20382.8035,-477.62149999999747,-532.2632686857324,54.641768685734995,40.0,1.4228913832499999,5.095700875,0.04124322849999999,0.62581275,7.456120448984999,-0.023420158096289705,close_proxy,2026-08-11,2026-08-12,LUMAXTECH,0.8523123264312744,6.430527889566237,0.027068771421909332,4.047167279423188,0.03728817057815758,13.336311737897885,1175.4488672100001,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
190,118.67931,117.53120500000001,118.62,119.35,117.59,22549.0689,22330.92895,-218.13994999999704,-273.47109901482054,55.331149014823495,40.0,1.5483599258249998,5.5827322375,0.04487999785,0.676472067,7.478704786648499,-0.012067375086980008,close_proxy,2026-08-12,2026-08-13,PNB,0.30014657974243164,1.9825717803460958,0.016594931483268738,4.011826722578865,0.016533390966068737,2.5282117637123163,609.60515463,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
55,410.70525,400.29975,410.5,413.65,400.5,22588.78875,22016.48625,-572.302499999998,-627.544771245248,55.24227124525001,40.0,1.5388819875,5.504121562500001,0.044605275,0.6776636625,7.47699875775,-0.027691475134924846,close_proxy,2026-08-12,2026-08-13,NATIONALUM,0.4910525679588318,3.7475554943724614,0.020276419818401337,3.9711286784266795,0.02715136054421769,4.234348362709868,1444.309902,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
72,313.1565,303.2483,313.0,319.4,303.4,22547.268,21833.8776,-713.3904000000002,-768.5764250229762,55.186025022976,40.0,1.5311495232,5.4584694,0.044381145600000005,0.67641804,7.475606914176,-0.03391473555039096,close_proxy,2026-08-12,2026-08-13,MARKSANS,0.7913326621055603,6.160759428022912,0.02449144423007965,3.8834652796010722,0.03610273283977694,13.137755262219013,1494.53772408,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
13,1592.7959999999998,1555.52185,1592.0,1597.0,1556.3,20706.347999999998,20221.784050000002,-484.5639499999961,-539.1476988403016,54.583748840305496,40.0,1.4120205557249998,5.055446012500001,0.040928132049999996,0.62119044,7.4541637000305,-0.024389765191162493,close_proxy,2026-08-13,2026-08-14,ASTRAL,0.5055981874465942,3.9947196724361214,0.01778227835893631,4.080173397165168,0.023061737257717166,11.629193936050699,1969.5553768,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
1,20300.145,19959.0155,20290.0,20314.0,19969.0,20300.145,19959.0155,-341.1294999999991,-395.6074678094541,54.477967809454995,40.0,1.38894103725,4.989753875000001,0.040259160499999995,0.6090043500000001,7.450009386704999,-0.017896345043292072,close_proxy,2026-08-13,2026-08-14,SOLARINDS,0.5274279117584229,4.01316064740572,0.01962563395500183,3.9507007395153932,0.026102145246998623,6.1739856242455575,1431.9253876,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
42,520.9603500000001,530.884425,520.7,534.0,531.15,21880.334700000003,22297.145849999997,416.8111499999941,361.5378107827536,55.2733392172405,40.0,1.524123078975,5.574286462499999,0.044177480549999995,0.6564100410000001,7.4743421542155,0.016355114436517666,close_proxy,2026-08-13,2026-08-14,SARDAEN,0.6624729037284851,4.985139580270089,0.018520712852478027,3.151726105745136,0.03182413802516993,16.362481544852386,1232.1669943599998,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
51,426.51315,422.338725,426.3,432.8,422.55,21752.17065,21539.274975,-212.89567499999976,-267.9387450602685,55.04307006026875,40.0,1.4935548740625,5.38481874375,0.043291445625,0.6525651195000001,7.468839877331249,-0.012226596957719814,close_proxy,2026-08-14,2026-08-17,APEX,0.8614657521247864,5.484400395742642,0.01840735226869583,2.4377334541919398,0.03520749216773608,17.369767394598377,397.196485445,large_gap,qualified,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
12,1737.9685499999998,1666.7662,1737.1,1755.0,1667.6,20855.6226,20001.1944,-854.4281999999985,-908.9583051150685,54.53010511507,40.0,1.4095601864999998,5.0002986,0.040856817,0.625668678,7.45372083357,-0.04147764014313891,close_proxy,2026-08-14,2026-08-17,LGEINDIA,0.6335002779960632,4.921731120050788,0.020335830748081207,4.369334173940362,0.024624418767911875,13.18382695459296,1700.66836926,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
64,337.46864999999997,331.284275,337.3,345.5,331.45,21597.993599999998,21202.1936,-395.7999999999993,-450.7336840161113,54.933684016112,40.0,1.4766064584,5.300548399999999,0.0428001872,0.647939808,7.465789162511999,-0.020567906625425274,close_proxy,2026-08-14,2026-08-17,MARKSANS,0.8109262585639954,5.662378808516338,0.027438588440418243,3.583323543706471,0.039886314886314854,4.005888416869029,674.1054531,normal,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
